Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Machine Learning Engineer,$112K-$133K (Glassdoor est.),"CircleUp harnesses the power of machine learning and predictive analytics to discover some of the fastest-growing companies in the consumer & retail sector. We are building a predictive data system called ""Helio"" to bring the data-driven revolution that has occurred in the public markets to the private markets, starting with consumer & retail.

We are working on challenging problems in information retrieval, entity resolution, and developing an in-depth knowledge graph of all private companies. We are mining vast amounts of data to successfully rewrite the rules on how private companies are evaluated.

With a background in both software development and machine learning, you will collaborate with software engineers, data scientists, PMs, and domain experts in consumer investing to develop & ship predictive data products in support of CircleUp's mission - helping entrepreneurs thrive by connecting them with the capital & resources they need.

You are a passionate software engineer who is comfortable working across the full stack & lifecycle of predictive data products - prototyping, feature engineering, validation, and productionalization.

Responsibilities:
Collect and refine structured and unstructured data on private companies
Build out our entity resolution platform that can identify references to companies, brands and products in highly unstructured digital documents and link them back to real world entities
Build scalable production systems for data collection, data transformation, feature extraction, model training, and scoring, using distributed software tools
Build end to end algorithms for objectively measuring the quality of private consumer companies
Contribute to all phases of algorithm development including ideation, prototyping, design and production
We're looking for teammates who have:
Bachelor's degree or higher in Computer Science, Information retrieval, Natural Language processing, Math, Statistics or related technical field
2+ years of experience in machine learning, NLP and/or information retrieval
Broad knowledge of machine learning APIs, tools, and open source libraries
Excellent coding skills and strong fundamentals in algorithms, data structures, predictive modeling and big data concepts
Experience putting models into production systems is a huge plus
If you got to this point, we hope you’re feeling excited about the job description you just read! Even if you feel that you don't meet all of the requirements and qualifications, we still encourage you to apply. We’re eager to speak with those who share our passion to help entrepreneurs thrive - not just those who match every bullet point in our job descriptions.

CircleUp is an equal opportunity employer. We do not discriminate based upon race, religious creed, color, national origin, ancestry, physical or mental disability, medical condition, genetic information, marital status (including registered domestic partnership status), sex and gender (including pregnancy, childbirth, lactation and related medical conditions), gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), age, sexual orientation, Civil Air Patrol status, military and veteran status and any other consideration protected by federal, state or local law. We encourage those who really want to make an impact to apply for our open positions.",4.5,"CircleUp
4.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,2012,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,-1
"Data Scientist - Statistics, Early Career",$112K-$133K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
Senior Data Scientist,$112K-$133K (Glassdoor est.),"SkySync is a dynamic, fast-paced, venture-backed software innovator based in the Ann Arbor tech cluster, with remote Syncopaths in all US time zones. Our quirky and unique workforce excels at managing our customer’s content migration, synchronization, and orchestration challenges like no other in our space. We are poised for rapid growth and need a Data Scientist to contribute to building and developing our understanding of the data we encounter. We are looking for someone from the southeastern Michigan area and preference will be given to candidates within this geographic location.
You’ll be doing a lot of this:
Understanding the decision-making process, workflows, and business and information needs of business unit heads and service manager/owners
Translating business needs into analytics/reporting requirements to support executive decisions and workflows with required information
Proactively mining data warehouses to identify trends and patterns and generates insights for business units and senior leadership
Performing large-scale experimentation to identify hidden relationships between variables in large datasets
Researching and implementing cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence to make data analysis more efficient
Determining requirements that will be used to train and evolve deep learning models and algorithms
Visualizing information and develops engaging reports on the results of data analysis using data visualization tools
Advising product teams on new products, features or updates through data-based recommendations
Developing frameworks and processes to analyze unstructured information collected through social media platforms i.e., wikis, blogs, instant messaging, etc. and traditional sources such as e-mail and SharePoint
Supporting user experience specialists and information architects to enhance information visualization through development of dashboards and user interfaces
Distributing best practices to analytics and product teams and provides consultations for their data-based experimentations
Other duties as assigned
So you should have this:
Up-to-date knowledge of machine learning and data analytics tools and techniques
Strong knowledge in predictive modeling methodology
Experience at leveraging both structured and unstructured data sources
Willingness and ability to learn new technologies on the job
Demonstrated ability to communicate complex results to technical and non-technical audiences
Demonstrated ability to work with minimal supervision
Experience using statistics and machine learning to solve complex business problems
Experience conducting statistical analysis with advanced statistical software, scripting languages, and packages
Experience with big data analysis tools and techniques
Experience building and deploying predictive models, web scraping, and scalable data pipelines
Master’s degree or PhD in computer science, statistics, economics or related fields
Ability to think critically while solving problems in a rapidly changing product

This position is a great fit for you if you like keeping up with the cutting edge of data science and helping build a position from the ground up. Knowing how to engage with new challenges daily and handle competing priorities is a must.
This position is not a great fit for you if you like established processes for every situation or a static set of duties and responsibilities.
Qualities Needed for Success
Excellent listening, writing, and professional communication skills are a must. You should be able to demonstrate proficiency in most of the duties and responsibilities listed above. In our fast-paced world, a great attitude combined with enthusiasm is key to individual success along with embodying our entrepreneurial spirit.",5.0,"SkySync
5.0","Ann Arbor, MI","Ann Arbor, MI",51 to 200 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist, Health Economics & Advanced Analytics",$112K-$133K (Glassdoor est.),"Overview


Avalere Health is seeking a Data Scientist to join our Health Economics & Advanced Analytics (HEAA) Practice. The HEAA practice works with life sciences companies and other healthcare sectors to quantify and communicate the real-world value of healthcare interventions and to align our clients’ business strategies with the evidentiary demands of an increasingly value-driven marketplace. We are driven by deep subject matter expertise, differentiated and proprietary real-world data assets, and an emphasis on sound business strategy coupled with rigorous research and advanced analytic capabilities. The data scientist will serve at the Research Scientist II level and lead and participate in the conceptualization, execution, and delivery of analyses in health economics, comparative effectiveness, performance measure development and testing, outcomes research, and epidemiology.

Responsibilities

Principal Duties and Responsibilities:


Lend deep statistical, epidemiological, and/or econometric expertise to the development of proposals, statements of work, and study protocols/statistical analysis plans
Perform descriptive and advanced statistical analyses using large patient and/or claims databases in support of data mining, predictive modeling, and health outcomes research projects
Develop and author study reports, scientific publications, conference abstracts, and posters
Independently manage workflow and make direct contributions to the research process
Collaborate with cross-functional project teams (project leads, project managers, programmers, research assistants, etc.) to support exceptional execution for clients
Support the growth and development of junior staff focused on related areas
Qualifications

Skills, Experience, and Other Job Related Requirements:


Minimum Requirements:
MA/MS or PhD in epidemiology, data science, health economics, health policy, pharmacy administration, public health, statistics, or related discipline
5+ years of consulting, healthcare, or pharmaceutical/device industry experience
Broad technical knowledge of computational science, including applied statistics, econometrics, predictive modeling, and/or AI/machine learning theory and methods
Proficiency designing and executing observational/outcomes research studies using large administrative medical and pharmacy claims, EMR, and other data derived from various public and private databases
5+ years of experience using statistical software packages such as SAS, R, Python, and/or STATA
3+ years of SQL programming experience
Knowledge of advanced analytics, AI/machine learning theory and methods, and/or econometrics
Experience presenting research results at scientific conferences and/or a record of peer-reviewed publications
Additional Skills and Competencies:
Consulting background preferred
Excellent writing, project management, communication, and presentation skills
Ability to independently manage multiple work streams with limited supervision
Demonstrated problem solving, analytical reasoning, and decision-making skills and strong commitment to meeting goals and deadlines
Excellent teamwork skills and ability to work in a fast-paced, multi-disciplinary environment
Self-motivated with a positive, flexible attitude",3.2,"Avalere Health
3.2","Washington, DC","Washington, DC",201 to 500 employees,2000,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
Senior Healthcare Analyst/Data Scientist,$112K-$133K (Glassdoor est.),"This position is responsible for collaborating with clients, operational leads and subject matter experts to develop and implement tactics and strategy for optimizing profitability, clinical performance, member and provider satisfaction and client satisfaction by developing and leveraging analytic tools, financial models and reports, marketing and outreach. In addition to being an expert SAS, Tableau and Excel developer, each Lead Healthcare Analyst is responsible for maintaining close collaborative relationships with one or more DentaQuest Regional Vice Presidents and all client and provider directors and managers within the states in the assigned region, and for presenting recommendations, strategies and findings. The Lead Healthcare Analyst will organize, lead and support efforts to measure, analyze and report on trends enterprise-wide related to provider utilization, reimbursements, access to care, cost management, etc. and identify and promote strategies to positively influence access to quality, cost effective care and improved program performance. This individual will also work with other areas of the company, including Underwriting, Provider Services, Clinical Management and Client Services to assist in the understanding of provider cost and network trends impacting program costs and profitability and to recommend strategies for improvement wherever possible.

PRIMARY JOB RESPONSIBILITIES:
• Lead point of contact for a DentaQuest business region.
• Responsible for tactical and strategic partnership with a Regional Vice President in identifying, interpreting, prioritizing, designing and procuring analyses guide business decisions.
• Responsible for partnering with business and clinical teams and other internal clients and resources to enable and execute impactful, accurate business analytics.
• Lead analytic projects and coordinate teams of analysts and programmers to deliver on internal client needs.
• Develop, maintain and enforce compliance with project and campaign plans.
• Use SAS, Python, R and other tools to analyze complex business challenges and help to define best practices for:
o Outcomes measurement
o Provider optimization
o Benefit structures and algorithms
o System edits, fraud detection, UM and UR
o Member behavior management
• Present technical findings and methodologies and present recommendations to senior clients in written and visual presentations.
• Provide mentoring and support to analysts to assist in their development and ability to meet department needs.
• Monitor and track provider reimbursements to identify strategies to ensure access and profitability targets are met in a manner that is consistent with quality, cost effective care.
• Work with other internal departments as necessary to develop strategies and programs to manage dental costs within each market to assure profitability and budgetary goals are met.
• Provide recommendations on department policies, objectives and initiatives. Evaluate and suggest changes as necessary to optimize processes and efficiencies.
• Participate in special projects as needed or requested.
• Adhere to DentaQuest and Business Analytics business processes, SOPs and quality control standards.

REQUIRED:
• Bachelors degree in Computer Science, Math, Finance, Economics or business-related field or equivalent experience.
• 5+ years experience in data management, analysis and reporting to include experience with combining clinical and financial data.
• Advanced experience with database and business intelligence tools such as SAS, Python, R, Tableau, Cognos, MS Report Manager and Report Builder.
• Experience designing and implementing complex algorithms and/or quality metrics.
• Knowledge of health care industry is preferred.
• Strong foundation in statistical theory and practice required.
• Demonstrated ability to analyze and solve complex problems.
• Excellent PC skills with proficiency in Excel essential.
• Strong customer service and analytical skills.
• Strong time management and business process skills.
• Ability work well with others.
• Ability to meet multiple deadlines in a fast-paced environment.

PHYSICAL DEMANDS:
• Ability to work in a traditional professional office setting or remote equivalent.
• Ability to effectively operate computer equipment.
• Work schedule may vary and is determined by project schedules.
• Ability to travel as projects dictate.
• Ability to efficiently operate all job-related office equipment.
• Ability to communicate via telephone and work in virtual teams.
• Ability to work in a dynamic environment.",3.2,"DentaQuest
3.2","Milwaukee, WI","Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association"
Lead Data Scientist,$112K-$133K (Glassdoor est.),"Position: Lead Data Scientist

Location: Cincinnati, OH

Full-time, exempt

Join the PatientPoint Business Intelligence & Data Science team in our new Kenwood Cincinnati headquarters office space. Work for a growing entrepreneurial organization where you can apply your critical thinking skills and your ideas and suggestions are valued. Be a part of a team that implements emerging technology and applies the latest quantitative methods to solve complex problems.

What you will be doing

Far beyond just executing analysis, this key role collaborates, designs and creates statistical models and case study designs that fundamentally change the way we do business. See your greatest works appear in downstream dashboards, mission critical predictive models and processes that are based on successful machine learning.

Work on a team with data engineers that will build data ingestion & transformation processes to support your industry leading data science applications in predictive modeling and machine learning deployments. Design, create and deploy analytics solutions leveraging billions of log records from digital interactive touchscreen devices.

This position offers you a great opportunity to help build out an entire data science roadmap with the flexibility and the responsibility to develop accurate and reliable data products. This person plays an important role in selecting statistical methodologies and therefore must have a passion for staying current on the newest developments in the data science space.

As a data scientist, you will apply your critical thinking skills to understand and, sometimes, reframe high level business questions, prototype new ideas, run experiments, and iterate to better design data driven solutions to business problems. On other projects you might create advanced data queries and scripts for creating useful model features - including leveraging data from multiple external APIs.

There are opportunities to lead client-facing presentations, communication, and overall project ownership. Moreover, there are opportunities for data science thought leadership to lead the data science strategy and execution for large programs.

Plus, there will be minimal travel, we have a new office space, you will have career growth opportunities, you will get interesting projects and can enjoy free coffee!

What you need to be successful

A college degree and several years of work experience. Your experience should include direct hands-on work using analytics to establish and change business policy. MS degree preferred in applied statistics, computer science or engineering.

You must have strong statistical modeling skills. The ideal candidate will have advanced knowledge of machine learning and predictive modeling techniques. You will be asked to provide an example from your experience leading predictive modeling initiatives. You will need these and other skills to mine large amounts of data and perform data analysis to extract actionable insights for a wide range of topics including internal operations, product development, campaign performance, market dynamics, etc.

This position requires that you have mastery and experience with statistical programming in R and Python. You must be very proficient with Python including Pandas, NumPy and Scikit-learn. In R, you must be comfortable with the tidyverse (dplyr and ggplot2) but also specific libraries for training linear and non-linear models, survival analysis, time series forecasting, etc.

Mastery of SQL programming and relational data extract. Data definition, transformation and preaggregation techniques helpful.

Ability to break down complex business and technical problems into opportunities for analytical study. Particularly, you should have experience with and know when to apply regression analysis, A/B testing, power analysis, anomaly detection, model validation and selection, building of ensemble models, network analysis, simulation, conducting inferential analysis with spatial and time series data, nearest neighbor, deep learning methods, etc.

Experience with data visualization tools (ex: Microsoft PowerBI)

Excellent verbal, written, and presentation skills demonstrating an ability to ""tell a story"", listening and persuasion.

Experience with storage and retrieval of data in NoSQL databases helpful.

Visa sponsorship is not available for this position.

Kudos if you have:

Working knowledge of graph databases.

Experience with Microsoft SQL Server Integration Services (SSIS 2012 and higher).

Experience with geospatial analysis.

Experience with reporting using SalesForce Wave or Einstein Analytics

This is an excellent opportunity and includes a competitive pay and benefits package, including health, dental, vision, disability, and life insurance as well as 401(k) retirement plan with matching company contribution, paid time off, and holidays. No relocation is available.

PatientPoint® is a patient engagement solutions company passionately committed to making every doctor-patient engagement better. By harnessing the power of technology, our omnichannel platform more effectively educates and empowers patients, caregivers and staff to deliver improved health outcomes and an enhanced patient experience. For 30 years, hospitals, health systems, physician offices and sponsoring brands have trusted PatientPoint and its more than 450 team members to provide a uniquely integrated experience across care settings. Learn more at patientpoint.com.

Employer is EOE/M/F/D/V",3.9,"PatientPoint
3.9","Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1987,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Outcome Health, Health Media Network, Mesmerize Marketing"
Senior Data Scientist,$112K-$133K (Glassdoor est.),"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:

Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.
4 years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics
Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.
Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.
Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark
Excellent communication skills and experience in working with stakeholders
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.

#LI-JW1

#DI-JW",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,$112K-$133K (Glassdoor est.),"Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· Provide innovative solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
· Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,
· Communicate the methodologies and the results to the management, clients and none technical stakeholders.
Basic Qualifications
· Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data analytics.
· Being able to apply basic statistical/ML concepts and reasoning to address and solve business problems such as targeting, test design, KPI projection and performance measurement.
· Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· Being flexible to accept different task assignments and able to work on a tight time schedule.
· Excellent command of one or more programming languages; preferably Python, SAS or R
· Familiar with one of the database technologies such as PostgreSQL, MySQL, can write basic SQL queries
· Great communication skills (verbal, written and presentation)
Preferred Qualifications
· Experience or exposure to large consumer and/or demographic data sets.
· Familiarity with data manipulation and cleaning routines and techniques.",3.0,"Affinity Solutions
3.0","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee"
Data Analyst (Informatica),$112K-$133K (Glassdoor est.),"Location: Carmel, Indiana, Eagan, Minnesota, or Little Rock, Arkansas

We’re still hiring! MISO has adapted our recruiting and onboarding processes to accommodate the needs of our prospective employees in light of the current conditions. At MISO, we are committed to the health and safety of our employees while maintaining a reliable bulk electric system. We are proud to offer #workfromhome options to our employees. #stillhiring #hiring

MISO is hiring an experienced Data Analyst to maximize the use of our data so teams can efficiently and effectively make data-driven decisions while managing risks and costs. Connect users with trusted data to drive insights and allow easy access to that data. Work in an Agile environment, help oversee best practices, and work on newer technologies and tools from Informatica and IBM Netezza. This role has the ability to impact the power grid and how important business decisions are made!

As MISO’s Data Analyst, you will:
Oversee and perform ETL development work
Help define and drive the team to use ETL development best practices and standards
Create Informatica workflows to expand the data warehouse
Gather and understand business requirements from both internal MISO departments and external stakeholders supporting data decision making and driving the best outcomes
Understand and demonstrate data management best practices
Participate in a production support rotation for one week a month during business hours
We’re looking for extensive knowledge and experience in the following:
ETL development using Informatica
Data warehousing experience
SQL (or NoSQL database experience such as MongoDB)
IBM Netezza/NPS familiarity
At least 5 years’ experience in a data analyst role
Bachelor’s Degree in a technical-related field or equivalent work experience
Appropriate level will be determined based upon experience and knowledge.

Transformative innovation is happening in the electric industry; from digitalizing homes and distributed resources, to renewable energy and an ever-changing grid. MISO manages the electricity superhighway in the Central U.S. and through use of groundbreaking research and advanced technology, our highly skilled employees ensure power flows reliably to 42 million Americans. Operating the electricity grid, running a robust energy market, planning for a bright future– it’s what our immensely talented and dedicated team does every day.

Watch MISO's 80 Second Video",3.2,"MISO
3.2","Carmel, IN","Carmel, IN",501 to 1000 employees,1998,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,"PJM Interconnection, Southwest Power Pool"
Senior Data Scientist,$112K-$133K (Glassdoor est.),"NanoMosaic LLC, located in Woburn, Massachusetts, is focused on developing an innovative photonics technology for biomedical diagnostics and drug development. Our cutting-edge technology will enable new frontiers of medical research for ultrahigh-sensitivity detection of single molecules in low volume liquid biopsy samples.
We are looking for a candidate with a strong desire to bring a disruptive technology to market; playing a key role in a multidisciplinary team. This position will primarily focus on implementation of our data processing, informatics, and reporting pipeline.
Successful candidates must have solid knowledge and extensive experience with scripting in Python or similar language with special emphasis in machine vision applications. Emphasis is also placed on image processing techniques via machine learning methods as well as local and hosted system architecture development. Experience providing consumer-facing data visualizations is preferred. Additionally, candidates should possess a strong acumen for on-the-fly problem solving, communication, and system level thinking.

Responsibilities:
Develop, validate, implement, and support image analysis tools for our evolving data pipeline
Incorporate data pipeline revisions into our existing platform
Develop and integrate data reporting mechanism
General Qualifications:
Creative, hardworking, and organized. Must also show a track record of innovative problem solving in technical environments.
BS/BA degree in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.)
5+ years of directly related experience
Strong experience with image processing and image analysis
Strong background in Python
Strong problem-solving skills
Ability to prioritize tasks and remain agile in a small working group
Excellent communication skills are essential
Preferred Qualifications:
Master’s degree in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.) plus 5 years of experience.
Previous experience in application of statistical methods and machine learning techniques
Experience with wet-lab techniques (especially immunological)
Application experience with photonics, machine vision, and microscopy
Experience with laboratory automation including liquid handling, plate readers, plate washers, and incubators
Experience with other software platforms such as LabView, Matlab
Familiarity with regulatory framework and guidance for RUO and Dx software development

NanoMosaic LLC. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",-1,NanoMosaic,"Woburn, MA","Woburn, MA",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Junior Business Intelligence Analyst,$112K-$133K (Glassdoor est.),"Junior Business Intelligence Analyst
MWE is seeking an enthusiastic employee to facilitate our IT team in creating thoughtful and effective reports utilizing existing data sources. Successful candidates will have a willingness and enthusiasm for understanding data sources and how it can be applied to facilitate business decisions.
Accountabilities:
- Develop dynamic, scalable, and effective reports and dashboards including related KPIs/metrics for visual analysis
- Understand, prepare, and analyze data to make the data valuable and useful for operational and/or decision-making purposes
- Consider data context and availability to determine how best to produce reports efficiently and accurately
- Critically evaluate information gathered from multiple sources and present in simple and accurate ways
- Uses NetSuite, spreadsheets, and relevant software to provide ongoing analysis of operational activities
We think you will succeed if:
- Bachelor’s degree, or equivalent experience
- 0-3 years of experience in Business Analytics, Reporting, or related fields
- Passion for working with and manipulating data
- Ability to quickly understand our business and how to collect data to make informed decisions
- Excited to learn and understand our existing business systems
- Experience with writing SQL queries and extracting data from NetSuite",-1,"Midwest Equipment Sales, LLC","Columbus, OH",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst/Programmer,$112K-$133K (Glassdoor est.),"Data Analyst/Programmer


Woodland Hills

Position Overview

Apollo Insurance Solutions Group seeks a Data Analyst/Programmer for its Woodland Hills, CA office. This is a new position being added to our Quantitative Development team. The Quantitative Development team maintains proprietary mortgage investment risk models used for financial reporting, risk measurement, pricing and strategic business decisions.

Primary Responsibilities

Tape cracking:
Field transformation
Data examination
Run the cracked tape through the system
Communicate with the traders on the assumptions
Update tapes once new data available
Maintain and research on the old runs
Ad hoc analysis
Development new applications and maintain the existing ones

Qualifications & Experience

Minimum Bachelor’s degree, ideally an advanced degree, in a Quantitative background (statistics, machine learning, quantitative finance, financial mathematics, computer science, econometrics, physics, mathematics)
Experience working with data processing language, Python is preferred
Experience working with basic tools such as SQL, Excel, etc.
Strong programming skills preferred
Knowledge of finance, capital markets
Detail oriented
Strong communication skills, both written and verbal
Ability to work in a fast-paced environment, under pressure and deliver on time",3.2,"Apollo Global Management
3.2","Woodland Hills, UT","New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),-1
